Survived,Age,Embarked,Fare,Pclass,Sex,Family_Size,Honorific,Ticket_info,Deck
1,28,2,13,1,0,0,1,36,8
1,42,2,8,2,1,0,2,36,8
1,4,2,81,0,1,2,0,36,1
1,13,2,19,1,0,1,1,36,8
1,34,2,26,0,1,0,2,36,8
1,5,0,19,2,0,3,1,36,8
1,52,2,30,0,1,0,2,36,3
0,36,2,27,1,1,3,2,7,8
0,19,2,19,2,1,1,2,36,8
0,30,0,27,0,1,0,2,36,3
1,49,0,89,0,1,1,2,36,3
0,26,2,8,2,1,0,2,2,8
1,29,0,7,2,1,0,2,36,8
0,65,2,26,0,1,0,2,36,5
1,15,2,51,0,0,1,3,36,4
1,50,2,10,1,0,0,1,10,8
0,25,1,7,2,1,0,2,36,8
1,48,2,26,0,1,0,2,36,5
0,34,2,8,2,1,0,2,36,8
0,47,2,38,0,1,0,2,36,5
0,48,2,13,1,1,0,2,36,8
0,40,2,8,2,1,0,2,5,8
0,38,2,7,2,1,0,2,28,8
0,24,2,0,1,1,0,2,36,8
0,56,2,26,0,1,0,2,36,8
0,17,1,7,2,1,0,2,36,8
1,0,0,19,2,0,3,1,36,8
0,41,2,7,2,1,0,2,36,8
0,38,2,8,2,1,0,2,36,8
1,33,2,27,1,0,3,3,7,8
1,23,0,13,1,0,0,3,20,4
0,22,2,9,2,0,0,1,36,8
0,18,2,52,0,1,0,2,36,1
0,34,2,21,1,1,1,2,36,8
0,29,2,7,2,1,1,2,36,8
0,22,2,7,2,1,0,2,36,8
1,2,2,12,2,0,1,1,36,8
0,9,2,46,2,1,7,0,7,8
0,33,2,0,1,1,0,2,36,8
0,50,2,8,2,1,0,2,2,8
1,63,2,9,2,0,0,3,36,8
1,25,0,91,0,1,1,2,36,2
0,28,2,25,2,0,4,1,36,8
1,35,2,90,0,0,1,3,36,3
0,58,0,29,0,1,0,2,36,2
0,30,2,8,2,1,0,2,2,8
1,9,2,15,2,1,2,0,7,8
0,19,2,19,2,1,1,2,36,8
0,21,2,7,2,1,0,2,28,8
0,55,2,30,0,1,0,2,36,3
0,71,0,49,0,1,0,2,14,8
0,21,2,8,2,1,0,2,1,8
0,36,0,14,2,1,0,2,36,8
1,54,0,78,0,0,1,1,36,4
0,32,2,15,2,1,0,2,7,8
0,25,2,151,0,0,3,3,36,3
0,24,2,7,2,1,0,2,36,8
0,17,2,8,2,1,0,2,36,8
0,21,1,7,2,0,0,1,36,8
0,36,1,7,2,0,0,1,36,8
0,37,2,9,2,0,0,1,36,8
1,16,2,86,0,0,0,1,36,2
0,18,0,108,0,1,1,2,14,3
1,33,2,26,1,0,2,3,36,8
1,37,2,26,0,1,0,2,36,8
0,28,2,22,2,1,0,2,6,8
1,26,2,56,2,1,0,2,36,8
1,29,1,7,2,1,0,2,36,8
0,35,2,8,2,1,0,2,28,8
1,36,2,26,0,1,0,2,14,5
1,54,0,59,0,0,1,3,14,8
0,24,2,7,2,1,0,2,36,8
0,47,2,34,0,1,0,2,36,4
1,34,2,10,1,0,0,3,7,6
0,19,1,24,2,1,0,2,36,8
1,36,2,26,1,0,1,3,36,8
0,32,2,7,2,1,0,2,36,8
1,30,2,93,0,0,0,1,36,2
0,22,2,7,2,1,0,2,36,8
0,19,0,7,2,1,0,2,36,8
1,44,0,57,0,0,1,3,36,2
0,41,0,7,2,1,0,2,36,8
0,40,1,7,2,1,0,2,36,8
1,50,2,10,1,0,0,1,34,8
0,37,2,221,0,1,0,2,14,3
0,39,2,7,2,1,0,2,36,8
0,23,2,11,1,1,3,2,36,8
1,2,2,26,1,0,2,1,36,8
0,34,0,7,2,1,0,2,36,8
0,17,0,7,2,1,2,2,36,8
1,40,0,22,2,0,2,3,36,8
0,30,2,8,2,0,0,1,36,8
1,7,2,26,1,0,2,1,10,8
0,45,2,26,0,1,0,2,36,2
1,30,0,106,0,0,0,1,14,8
0,20,2,14,2,1,0,2,36,8
1,22,0,49,0,0,2,1,36,2
1,36,2,71,0,0,2,1,35,2
0,9,2,31,2,0,6,1,36,8
0,11,2,31,2,0,6,1,36,8
1,32,2,26,1,1,1,2,36,8
0,50,0,106,0,1,1,2,14,3
0,64,2,26,0,1,0,2,36,8
1,19,2,26,1,0,1,3,36,8
1,15,0,13,1,1,0,2,22,8
0,33,2,20,2,1,2,2,36,8
1,8,2,36,1,1,2,0,7,8
1,17,0,110,0,1,2,2,36,3
0,27,2,26,1,1,0,2,36,8
0,29,1,7,2,1,0,2,36,8
1,22,0,7,2,1,0,2,36,8
1,22,2,7,2,0,0,1,36,8
0,62,2,26,0,1,0,2,36,8
1,48,0,39,0,0,1,3,36,1
0,30,0,227,0,1,0,2,14,8
1,39,2,79,0,0,2,3,36,5
1,36,2,17,2,0,1,3,36,8
0,20,1,7,2,1,0,2,36,8
0,40,2,7,2,1,0,2,36,8
0,28,2,13,1,1,0,2,36,8
0,33,2,8,2,1,0,2,28,8
0,38,2,8,2,0,0,1,28,8
0,24,2,24,2,1,2,2,1,8
0,19,2,7,2,1,0,2,36,8
0,29,2,21,2,0,4,3,36,8
0,42,0,7,2,1,0,2,36,8
1,32,2,7,2,1,0,2,36,8
1,62,2,10,1,1,0,2,33,8
1,53,2,51,0,0,2,3,36,3
1,36,2,26,0,1,0,2,14,5
1,39,1,7,2,0,0,1,36,8
0,16,2,8,2,1,0,2,1,8
0,19,2,14,2,1,0,2,36,8
1,34,2,13,1,0,0,1,36,8
1,39,2,55,0,0,1,3,36,5
0,40,0,14,2,0,1,3,36,8
1,32,2,7,2,1,0,2,30,8
1,25,2,30,1,0,2,1,36,8
1,39,0,110,0,0,2,3,36,3
0,54,2,26,1,1,0,2,36,8
0,36,0,40,0,1,0,2,36,1
0,20,0,8,2,1,0,2,36,8
1,18,2,79,0,0,2,1,36,5
0,47,2,15,1,1,0,2,36,8
1,60,0,79,0,1,2,2,36,2
0,22,2,8,2,1,0,2,36,8
0,34,2,8,2,1,0,2,2,8
0,35,2,7,2,1,0,2,30,8
1,52,0,78,0,0,1,3,36,4
0,47,2,7,2,1,0,2,2,8
0,28,1,7,2,0,2,1,36,8
0,37,2,26,1,1,1,2,20,8
0,36,2,24,2,1,2,2,36,8
1,31,2,33,1,0,0,1,36,8
0,49,2,0,2,1,0,2,12,8
0,23,0,7,2,1,0,2,36,8
1,49,0,56,0,1,1,2,14,1
1,24,2,27,1,0,3,3,36,8
0,28,2,7,2,1,0,2,36,8
0,20,2,42,0,1,0,2,36,8
0,44,2,8,2,1,0,2,36,8
1,35,0,26,0,1,0,2,36,8
0,36,2,15,2,1,1,2,36,8
0,30,2,7,2,1,0,2,36,8
1,27,2,30,0,1,0,2,36,8
1,22,0,41,1,0,3,3,23,8
1,40,2,153,0,0,0,1,14,3
0,39,2,31,2,0,6,3,36,8
0,17,2,7,2,1,0,2,28,8
1,34,1,15,2,0,1,1,36,8
0,41,1,7,2,1,0,2,36,8
0,35,2,8,2,1,0,2,36,8
1,24,2,65,1,0,3,1,36,8
0,34,2,14,2,1,2,2,36,8
0,26,2,16,2,0,1,3,2,8
1,4,2,39,1,0,3,1,36,6
0,26,2,10,1,1,0,2,36,8
0,27,0,14,2,1,1,2,36,8
1,42,2,52,0,1,1,2,36,4
1,20,0,15,2,1,2,2,36,8
0,21,2,7,2,1,0,2,36,8
0,21,2,16,2,1,0,2,36,8
0,61,2,32,0,1,0,2,36,4
0,57,1,12,1,1,0,2,36,8
1,21,2,77,0,0,0,1,36,4
0,26,2,7,2,1,0,2,36,8
0,41,1,7,2,1,0,2,36,8
1,80,2,30,0,1,0,2,36,1
0,51,2,7,2,1,0,2,36,8
1,32,0,30,0,1,0,2,36,2
0,30,2,0,0,1,0,2,36,8
0,9,2,27,2,0,5,1,36,8
1,28,2,13,1,0,0,1,36,8
0,32,2,7,2,1,0,2,30,8
0,31,2,26,1,1,2,2,7,8
0,41,2,39,2,0,5,3,36,8
0,28,2,16,2,1,1,2,36,8
0,20,2,7,2,1,0,2,36,8
1,24,0,69,0,0,0,1,14,2
0,2,2,27,2,0,5,1,36,8
1,26,2,56,2,1,0,2,36,8
1,0,0,19,2,0,3,1,36,8
1,48,0,76,0,1,1,2,14,4
0,19,2,7,2,1,0,2,36,8
1,56,0,35,0,1,0,2,36,1
0,33,2,7,2,1,0,2,26,8
1,23,2,7,2,0,0,1,7,8
0,42,2,7,2,1,0,2,36,8
1,18,2,23,1,0,1,1,36,8
0,21,2,8,2,1,0,2,36,8
1,34,1,7,2,0,0,1,36,8
0,18,1,6,2,0,0,1,36,8
0,24,2,73,1,1,2,2,24,8
0,27,2,7,2,1,0,2,36,8
0,32,1,15,2,0,2,3,36,8
0,23,2,13,1,1,0,2,36,8
0,58,0,113,0,1,2,2,36,4
1,50,2,133,0,1,2,2,14,8
0,40,0,7,2,1,0,2,36,8
0,47,2,25,0,1,0,2,36,5
0,36,2,7,2,1,0,2,36,8
1,20,2,7,2,1,1,2,30,8
0,32,2,73,1,1,2,2,24,8
0,25,2,13,1,1,0,2,36,8
0,18,2,7,2,1,0,2,36,8
0,43,2,8,2,1,0,2,2,8
1,25,2,52,0,0,1,3,36,3
1,40,2,39,1,0,2,3,36,8
0,31,2,52,0,1,1,2,9,2
0,70,2,10,1,1,0,2,7,8
1,31,2,13,1,1,0,2,36,8
0,33,2,0,1,1,0,2,36,8
0,18,2,7,2,1,0,2,36,8
0,24,2,8,2,1,0,2,36,8
1,18,2,9,2,0,0,1,36,8
0,43,2,46,2,0,7,3,7,8
1,36,0,512,0,1,1,2,14,2
0,19,1,8,2,0,0,1,36,8
1,27,0,76,0,1,0,2,14,4
0,20,2,9,2,1,0,2,36,8
0,14,2,46,2,1,7,2,7,8
0,60,2,39,1,1,2,2,36,8
0,25,0,41,1,1,3,2,23,8
0,14,2,39,2,1,5,2,36,8
0,19,2,10,2,1,0,2,36,8
0,18,2,7,2,1,0,2,36,8
1,15,2,211,0,0,1,1,36,2
1,31,2,57,0,1,1,2,36,2
1,4,0,13,2,0,1,1,36,8
1,37,2,56,2,1,0,2,36,8
0,25,0,7,2,1,0,2,36,8
0,60,2,26,0,1,0,2,36,8
0,52,2,13,1,1,0,2,36,8
0,44,2,8,2,1,0,2,36,8
1,28,1,7,2,0,0,1,36,8
0,49,0,110,0,1,2,2,36,3
0,42,2,7,2,1,0,2,36,6
1,18,0,227,0,0,1,3,14,3
1,35,2,26,0,1,0,2,14,5
0,18,0,14,2,0,1,1,36,8
0,25,1,7,2,1,0,2,36,8
0,26,2,7,2,1,1,2,36,8
0,39,2,26,1,1,0,2,36,8
1,45,2,13,1,0,0,3,36,8
1,42,2,26,0,1,0,2,14,5
1,22,2,151,0,0,0,1,36,8
1,39,0,15,2,1,2,0,36,8
1,24,0,49,0,0,0,1,14,3
0,26,2,26,0,1,0,2,36,3
1,48,2,52,0,1,1,2,36,3
0,29,2,9,2,1,0,2,36,8
0,52,2,13,1,1,0,2,36,8
0,19,2,7,2,1,0,2,36,6
1,38,0,227,0,0,0,1,14,3
1,27,2,10,1,0,0,1,36,5
0,21,1,15,2,1,0,2,36,8
0,33,2,7,2,1,0,2,36,8
1,6,2,33,1,0,1,1,36,8
0,17,2,7,2,1,1,2,36,8
0,34,2,13,1,1,0,2,36,8
0,50,2,13,1,1,0,2,36,8
1,27,2,53,0,1,1,2,36,5
0,20,2,8,2,1,0,2,36,8
1,30,2,21,1,0,3,3,36,8
1,24,1,7,2,0,0,1,36,8
0,25,2,26,1,1,1,2,36,8
0,25,2,7,2,0,1,1,31,8
1,29,2,211,0,0,0,1,36,2
0,11,0,18,2,1,0,2,36,8
0,41,2,0,1,1,0,2,36,8
0,23,2,13,1,1,0,2,36,8
0,23,2,13,1,1,0,2,36,8
0,28,2,16,2,1,0,2,36,8
0,48,2,34,2,0,4,3,34,8
1,35,0,512,0,1,0,2,14,2
0,22,2,7,2,1,0,2,36,8
0,37,2,7,2,1,0,2,36,8
1,34,2,30,0,1,0,2,36,4
0,36,2,78,0,1,1,2,36,3
1,21,0,262,0,0,4,1,14,2
0,24,2,16,2,1,1,2,36,8
1,31,2,7,2,1,0,2,30,8
0,70,2,71,0,1,2,2,35,2
0,16,2,20,2,1,2,2,7,8
1,30,2,13,1,0,0,1,36,8
0,19,2,53,0,1,1,2,36,4
0,31,1,7,2,1,0,2,36,8
1,4,2,23,1,0,2,1,36,8
1,6,2,12,2,1,1,0,36,5
0,33,2,9,2,1,0,2,36,8
0,23,2,7,2,1,0,2,36,8
1,48,2,65,1,0,3,3,36,8
1,0,2,14,1,1,2,0,36,8
0,28,2,7,2,1,0,2,36,8
0,18,2,11,1,1,0,2,36,8
0,34,2,8,2,1,0,2,36,8
1,33,2,86,0,0,0,3,36,2
0,39,2,14,2,1,0,2,36,8
0,41,2,7,2,1,0,2,27,8
1,20,0,7,2,1,0,2,36,8
1,36,2,120,0,0,3,3,36,2
0,16,2,7,2,1,0,2,36,8
1,51,2,77,0,0,1,3,36,4
0,30,0,39,0,1,0,2,36,8
0,30,1,7,2,0,0,1,36,8
0,18,1,24,2,1,1,2,36,8
0,32,2,8,2,1,0,2,36,8
0,24,2,9,2,1,0,2,36,8
0,48,2,7,2,1,0,2,36,8
0,57,2,10,1,0,0,3,26,5
0,41,0,7,2,1,0,2,36,8
1,54,2,23,1,0,4,3,36,8
0,18,2,7,2,1,0,2,36,8
0,39,1,7,2,1,0,2,36,6
1,5,2,12,2,0,0,1,36,8
0,26,1,7,2,1,0,2,36,8
1,43,2,211,0,0,1,3,36,2
1,13,0,7,2,0,0,1,36,8
1,17,2,57,0,0,1,3,36,2
0,29,2,30,0,1,0,2,36,4
0,28,2,23,2,1,3,2,34,8
0,25,2,7,2,1,0,2,28,8
0,25,2,7,2,1,0,2,36,8
1,18,2,7,2,0,0,1,36,8
0,8,1,29,2,1,5,0,36,8
1,1,2,20,2,1,3,0,7,8
0,46,0,79,0,1,0,2,14,2
0,37,1,7,2,1,0,2,36,8
0,16,2,26,1,1,0,2,36,8
0,33,2,69,2,0,10,1,7,8
0,37,0,30,0,1,0,2,14,8
0,25,2,7,2,1,0,2,36,8
0,39,2,13,1,1,0,2,36,8
1,49,2,25,0,0,0,2,36,4
1,31,2,8,2,0,0,3,36,8
0,30,0,7,2,1,0,2,36,8
0,30,2,24,2,0,2,3,36,8
0,34,2,13,1,1,0,2,36,8
1,31,2,26,1,0,2,3,7,8
1,11,2,120,0,1,3,0,36,2
1,0,0,8,2,1,1,0,36,8
1,27,2,6,2,1,0,2,36,8
0,31,2,7,2,1,0,2,36,8
0,39,2,0,0,1,0,2,36,1
0,18,2,7,2,0,0,1,36,8
0,39,2,13,1,1,0,2,36,8
1,33,2,53,0,0,1,3,36,5
0,26,2,7,2,1,0,2,36,8
0,39,2,24,2,1,0,2,1,8
0,35,2,10,1,1,0,2,36,8
0,6,2,31,2,0,6,1,36,8
0,30,2,8,2,1,0,2,36,8
0,37,2,0,0,1,0,2,36,2
0,23,2,7,2,0,0,1,31,8
0,31,0,37,1,1,2,2,22,8
0,43,2,6,2,1,0,2,6,8
0,10,2,27,2,1,5,0,36,8
1,52,2,93,0,0,2,3,36,2
1,27,2,8,2,1,0,2,36,8
0,38,2,0,0,1,0,2,36,8
1,27,2,12,2,0,1,3,36,5
0,2,2,39,2,1,5,0,36,8
0,35,1,6,2,1,0,2,36,8
0,23,2,56,2,1,0,2,36,8
1,1,0,37,1,1,2,0,22,8
1,32,1,7,2,1,0,2,36,8
1,62,2,80,0,0,0,3,36,2
1,15,0,14,2,0,1,3,36,8
1,0,2,18,1,1,2,0,36,8
0,25,0,7,2,1,0,2,36,8
0,23,2,7,2,1,0,2,36,8
0,18,2,8,2,1,0,2,36,8
1,39,0,83,0,0,2,1,14,5
0,21,2,8,2,1,0,2,36,8
0,15,2,8,2,1,0,2,36,8
1,32,2,56,2,1,0,2,36,8
1,26,0,29,0,1,0,2,36,3
0,20,2,7,2,1,0,2,27,8
0,16,2,10,1,1,0,2,26,8
1,30,0,31,0,0,0,1,36,8
0,34,0,6,2,1,0,2,36,8
0,17,2,8,2,1,0,2,36,8
0,42,2,7,2,1,0,2,7,8
0,18,2,69,2,1,10,2,7,8
0,35,0,7,2,1,0,2,36,8
0,28,2,33,1,1,1,2,36,8
1,16,0,89,0,0,1,3,36,3
0,4,2,31,2,1,6,0,36,8
0,74,2,7,2,1,0,2,36,8
0,9,0,15,2,0,2,1,36,8
1,16,2,39,0,0,1,1,14,4
0,44,2,26,1,0,1,3,36,8
1,18,2,9,2,0,1,3,36,8
1,45,2,164,0,0,2,3,36,8
1,51,2,26,0,1,0,2,36,5
1,24,0,19,2,0,3,3,36,8
0,31,0,7,2,1,0,2,36,8
0,41,2,14,2,1,2,2,36,8
0,21,2,11,1,1,1,2,36,8
1,48,2,25,0,0,0,3,36,4
0,32,2,69,2,0,10,1,7,8
0,24,2,13,1,1,0,2,36,8
1,42,2,13,1,0,0,3,36,8
1,27,0,13,1,0,1,1,22,8
0,31,2,50,0,1,0,2,14,1
0,30,2,9,2,1,0,2,36,8
1,4,2,11,2,1,2,0,36,8
0,26,2,7,2,1,0,2,36,8
1,47,2,52,0,0,2,3,36,4
0,33,2,5,0,1,0,2,36,2
0,47,2,9,2,1,0,2,36,8
1,28,0,24,1,0,1,3,16,8
1,15,0,7,2,0,0,1,36,8
0,20,2,9,2,1,0,2,36,8
0,19,2,7,2,1,0,2,36,8
0,36,2,7,2,1,0,2,36,8
1,56,0,83,0,0,1,3,36,3
1,25,2,26,1,0,1,3,36,8
0,33,2,7,2,1,0,2,36,8
0,22,2,10,2,0,0,1,36,8
0,28,2,10,1,1,0,2,8,8
0,25,2,7,2,1,0,2,28,8
0,39,1,29,2,0,5,3,36,8
0,27,2,13,1,1,0,2,36,8
1,19,2,30,0,0,0,1,36,2
0,39,2,23,2,0,3,1,34,8
1,26,0,30,0,1,0,2,36,3
0,32,1,7,2,1,0,2,36,8
